名称,功效,主治,组成原文,用法用量,方解,要点,加减化裁,注意事项,临床应用,其他信息
小青龙汤,解表散寒，温肺化饮。,外寒内饮证。恶寒发热，无汗，头身疼痛，咳嗽气喘，痰多清稀，甚则咳喘不能平卧，或干呕，或头面四肢浮肿，舌苔白滑，脉浮。,麻黄（去节）9克， 芍药9克， 细辛3克， 干姜3克， 甘草（炙）6克， 桂枝6克（去皮），五味子3克， 半夏9克（洗）,上八味，以水一斗，先煮麻黄，减二升，去上沫，内诸药，煮取三升，去滓，温服一升。现代用法：水煎温服。,小青龙汤证为素有内饮，复感风寒，外寒引动内饮所致。风寒束表，皮毛闭塞，则恶寒发热，无汗，头身疼痛；外寒引动内饮，致寒饮犯肺，肺失宣降，故喘咳痰稀量多，甚则不得平卧；若胃气随肺气上逆，则干呕；若水饮溢于肌肤，则头面四肢浮肿；舌苔白滑而脉浮为外寒里饮之证。治宜解表与化饮配合，使外邪得解，内饮得化。方中麻黄、桂枝相须为用，发汗解表，且麻黄能宣肺平喘咳，桂枝能温阳化内饮，共为君药。干姜、细辛为辛温之品，既温肺以化内饮，又辛散助以解外寒，为臣药。辛温发散，易耗伤肺气且伤津，故用五味子敛肺止咳，芍药益阴血而敛津液，二药与辛散之品相配，既增强止咳平喘之功，又防麻桂辛散太过，散收相配，相制相成；半夏燥湿化痰，和胃降逆，共为佐药。方中干姜长于温暖脾肺而化饮，细辛长予解表温肺而化饮，五味子长于收敛肺气而止咳，凡寒饮犯肺之咳喘，三药合用，无有不验，是温肺化饮的常用组合。炙甘草益气和中，调和于辛散酸收之间，兼佐、使之用。药虽八味，配伍严谨，既可发表散寒，化饮平喘，又能敛肺兼顾正气。,恶寒，发热、无汗、喘咳、痰白清稀,若外寒证轻者，可去桂枝，麻黄改用炙麻黄；兼有热象而出现烦躁者，加生石膏、黄芩以清郁热；兼喉中痰鸣，加杏仁、射干、款冬花以化痰降气平喘；若鼻塞，清涕多者，加辛夷、苍耳子以宣通鼻窍；兼水肿者，加茯苓、猪苓以利水消肿。,本方多温燥，阴虚干咳无痰或痰热证者，不宜使用。,1.小青龙汤为治外感风寒，内停水饮之咳喘证的常用方，以恶寒，发热、无汗、喘咳、痰白清稀为辨证要点。2.小青龙汤常用于治疗慢性支气管炎、支气管哮喘、肺气肿，以及慢性支气管炎急性发作、肺炎、肺水肿、肺心病等属于寒饮犯肺者。3.方中药物多为温燥之品，故阴虚干咳无痰或痰热证者，不宜使用。,小青龙汤出自汉·张仲景《伤寒论》。
麻黄汤,发汗解表，宣肺平喘。,外感风寒，恶寒发热，头痛身疼，无汗而喘，舌苔薄白，脉浮紧。（本方常用于感冒、流行性感冒、急性支气管炎、支气管哮喘等属风寒表实证者。）,麻黄9克、桂枝6克、杏仁6克、炙甘草3克。,上四味，以水九升，先煮麻黄，减二升，去上沫，内诸药，煮取二升半，去滓，温服八合。覆取微似汗，不须啜粥，余如桂枝法将息（现代用法：水煎服，温覆取微汗）。,本方证为外感风寒，肺气失宣所致。治当发汗解表，宣肺平喘。方中君药麻黄味辛性温，善开腠发汗，祛在表之风寒，宣肺平喘，开闭郁之肺气；臣以桂枝辛温发散，解肌发表，温经通脉，合麻黄宣卫阳，透营气，相须为用，倍增发汗散邪之力；本症之喘，是由肺气闭郁失降而反上逆所致，故佐以降肺气，散风寒的杏仁，同麻黄一宣一降，增强解表平喘之功。炙甘草既能调和宣降之麻、杏，又能缓和麻、桂峻猛之性，使无过汗伤正之弊，为使药。方中四药配伍，以解除在表之寒邪，开泄闭郁之肺气，使表邪解散，肺气宣通，诸症自愈。,外感风寒表实证的基础方，恶寒发热，无汗而喘，脉浮紧。原书主治 《伤寒论·辨太阳病脉证并治》：“太阳病，头痛发热，身疼腰痛，骨节疼痛，恶风，无汗而喘者，麻黄汤主之。”“太阳病，脉浮紧，无汗，发热，身疼痛，八九日不解，表证仍在，此当发其汗。……麻黄汤主之。”,若喘急胸闷、咳嗽痰多、表证不甚者，去桂枝，加苏子、半夏以化痰止咳平喘；若鼻塞流涕重者，加苍耳子、辛夷以宣通鼻窍；若夹湿邪而兼见骨节酸痛，加苍术、薏苡仁以祛风除湿；兼里热之烦躁、口干，酌加石膏、黄芩以清泻郁热。,1、一般冬季且青壮年使用；2、有咽痛者不能使用麻黄汤。咽痛则表明有热，热证复用热药，则必然加重病情，故如此。3、本方为发汗剂，药后一经汗出，则不宜再服。对于外感表虚自汗，外感风热，体虚外感等，忌用。①本方为辛温发汗之峻剂，故《伤寒论》对“疮家”、“淋家”、“衄家”、“亡血家”，以及外感表虚自汗、血虚而脉兼“尺中迟”、误下而见“身重心悸”等，虽有表寒证，亦皆禁用。②麻黄汤药味虽少，但发汗力强，不可过服，否则，汗出过多必伤人正气。正如柯琴指出：“此乃纯阳之剂，过于发散，如单刀直入之将，投之恰当，一战成功。不当则不戢而召祸。故用之发表，可一而不可再。”(《伤寒来苏集·伤寒附翼》卷上),1.女，45岁。2008年3月2日初诊：头痛1周，偏于后头较为剧烈，发热38℃多，畏冷，无汗，舌淡胖润，脉浮。麻黄汤原方：麻黄10g，桂枝10g，杏仁10g，甘草10g。3剂。嘱得汗后，止后服。服2剂头痛即愈。2.男，71岁。2012年2月13日初诊：脑出血后10个月，行走维艰，乏力。昨天起受寒发热，体温39.5℃，服退热药后热退复热，恶寒无汗，痰多略咳，口中涎多，舌淡赤胖润，脉左浮滑尺沉，右寸弱。此乃太阳表实证，因其痰涎较多，麻黄汤加化痰之品：麻黄15g，桂枝15g，杏仁15g，法半夏25g，茯苓25g，炙甘草15g。2剂。嘱服药见汗后，止后服。服1次即汗，热退。,
理冲汤,益气行血，调经祛瘀,妇人经闭不行，或产后恶露不尽，结为癥瘕，以致阴虚作热，阳虚作冷，食少劳嗽，虚证沓来，室女月闭血枯，男子劳瘵，一切脏腑癥瘕、积聚、气郁、脾弱、满闷、痞胀，不能饮食,生山药(15克)，天花粉、知母(各12克)，黄芪、三棱、莪术、鸡内金(各9克)，党参、白术(各6克)。,水煎服，每日2次。,理冲汤方中用党参配白术补气健脾，用黄芪取其大补脾胃之元气，使气旺促进血行、祛瘀而不伤正；山药健脾补气；三棱、莪术破血、行气、消癥；方中参芪术得棱、莪之力则补而不滞，破血消癥之品得参太芪致不伤正气。共奏健脾补气，化瘀消癥之功。本方临床应用广泛，还可以治疗癥瘕、不孕、乳房过早发育、肠粘连等病症，偶见于治疗病毒性腮腺炎。,,服之觉闷者，去于术；气弱，三棱、莪术各减为3克；泄泻，以白芍代知母，于术改用12克；热者，加生地、天冬各适量；凉者，知母、花粉各减半，或皆不用；凉甚者，加肉桂（捣细冲服）、乌附子各6克；瘀血坚甚者，加生水蛭6克；若坚壮者，宜去山药；室女及来产妇，三棱、莪术宜少用，知母减半，加生地黄适量；血瘀而未见症瘕，或月经犹未闭者，亦少用三棱、莪术；虚弱，去三棱、莪术，鸡内金改用12克；男子劳瘵，三棱、莪术亦宜少用，或以鸡内金代之亦可。,,临床主要用于治疗慢性盆腔炎、子宫肌瘤、卵巢早衰、子宫出血、前列腺肥大等病症。①慢性盆腔炎：治疗60例，总有效率100%。②子宫肌瘤：治疗62例，总有效率93.55%。③卵巢早衰：联合激素替代治疗32例，能明显改善血清促卵泡素、黄体生成素、雌二醇水平，促进月经恢复，减轻更年期症状，改善卵巢功能。④子宫出血：治疗80例，与常规治疗随机对照，有效率达85.7%。⑤前列腺肥大：治疗32例，总有效率90.7%。⑥盆腔结缔组织炎、输卵管卵巢炎等盆腔炎症，治疗51例，总有效率96.1%，其中治愈显效率为74.5%、平均服药43剂，验之临床，多获良效。,
四逆散,行气解郁，疏肝理脾。,1. 阳郁厥逆证。手足不温，或腹痛，或泄利下重，脉弦。 2. 肝脾不和证。胁肋胀闷，脘腹疼痛，脉弦等。,炙甘草， 枳实破 水渍炙干 ，柴胡， 芍药各十分 (各6g),上四味，捣筛，白饮和服方寸匕，日三服 (现代用法：水煎服)。,本方原治“少阴病，四逆”。四逆者，乃手足不温也。其证缘于外邪传经入里，气机为之郁遏，不得疏泄，导致阳气内郁，不能达于四末，而见手足不温。后世拓展其治疗范围，用于肝脾气机郁滞之胁肋胀闷，脘腹疼痛。故拟行气解郁，疏肝理脾之法。,"1. 辨证要点：本方原治阳郁厥逆证，后世多用作疏肝理脾的基础方。临床以手足不温，或胁肋、脘腹疼痛，脉弦为辨证要点。
2. 现代运用：慢性肝炎、胆囊炎、胆石症、胆道蛔虫症、肋间神经痛、胃溃疡、胃炎、胃肠神经官能症、附件炎、输卵管阻塞、急性乳腺炎等，辨证属肝胆气郁，肝脾 (或胆胃) 不和者。",若咳者，加五味子、干姜以温肺散寒止咳；悸者，加桂枝以温心阳；小便不利者，加茯苓以利小便；腹中痛者，加炮附子以散里寒；泄利下重者，加薤白以通阳散结；气郁甚者，加香附、郁金以理气解郁；有热者，加栀子以清内热。,热盛厥甚的热厥证和阳衰阴盛的寒厥证，忌用。,"1. 胃脘痛案例：黄某某，男，25岁，工人。1983年3月12日就诊。胃脘部胀痛，多年不已，经检查诊断为慢性胃炎。自述1周前，因饮酒引起胃脘胀痛，且痛及两胁，并觉胃中疼热烧灼，不能进食，食之则胀痞更甚，嗳气咽中热，口苦，舌黄腻，脉弦实。拟用四逆散合小陷胸汤主治。服药后症状明显改善，1年后随访，病未复发。
2. 乳房小叶增生案例：朱某某，女，47岁，干部。1982年5月10日就诊。左乳房小叶增生，有两个核桃大的活动性硬结，经切片检查为小叶增生。自述每于经前肿块增大，肿痛明显，牵引胁痛，经后痛势减轻，夜寐多梦，烦躁易怒，大便偏结。脉弦而缓，舌苔白润。拟用四逆散加味治疗。服药后肿块明显缩小，症状改善，至今未复发病。",四逆散
九味羌活汤,发汗祛湿，兼清里热。,外感风寒湿邪，内有蕴热证。恶寒发热，无汗，头痛项强，肢体酸楚疼痛，口苦微渴，舌苔白或微黄，脉浮或浮紧。,羌活、防风、苍术各9克，细辛3克，川芎、白芷、生地、黄芩、甘草各6克。,水煎，温服。若急汗，热服，以羹粥投之；若缓汗，温服之，而不用汤投之。,本方证由外感风寒湿邪，兼内有蕴热所致。风寒湿邪侵犯肌表，郁遏卫阳，闭塞腠理，阻滞经络，气血运行不畅，故恶寒发热，肌表无汗，头痛项强，肢体酸楚疼痛。里有蕴热，故口苦微渴。苔白或微黄、脉浮，是表证兼里热之佐证。治当发散风寒湿邪为主，兼清里热为辅。,本方是主治外感风寒湿邪而兼有内热证的常用方，亦是体现 “分经论治” 思想的代表方。临床应用以恶寒发热，头痛无汗，肢体酸楚疼痛，口苦微渴为辨证要点。,若湿邪较轻，肢体酸楚不甚者，可去苍术、细辛以减温燥之性；如肢体关节痛剧者，加独活、威灵仙、姜黄等以加强宣痹止痛之力；湿重胸满者，可去滋腻之生地黄，加枳壳、厚朴行气化湿宽胸；无口苦微渴者，生地、黄芩又当酌情裁减；里热甚而烦渴者，可配加石膏、知母清热除烦止渴。,本方虽有生地、黄芩之寒，但总属辛温燥烈之剂，故风热表证及阴虚内热者不宜使用。,本方常用于感冒、急性肌炎、风湿性关节炎、偏头痛、腰肌劳损等属外感风寒湿邪，兼有里热者。,九味羌活汤
止嗽散,宣利肺气，疏风止咳,风邪犯肺证。咳嗽咽痒，咯痰不爽，或微有恶风发热，舌苔薄白，脉浮缓,桔梗(炒)、荆芥、紫菀(蒸)、百部(蒸)、白前(蒸)各1kg，甘草(炒)375g，陈皮(水洗去白)500g。,散剂，共研细末，每服9克，食后，临卧时开水调服，初感风寒者，用生姜汤调下。,本方证为风邪稽留于肺，肺失宣畅所致。用治外感咳嗽，经服解表宣肺药后而咳仍不止者。风邪犯肺，或因解表不彻而风邪未尽，故咽痒咳嗽，因外邪已去十之八九，故微有恶风发热，舌苔薄白。治宜止咳化痰，疏表宣肺。方中紫菀、百部，均入肺经，其性温润，能润肺化痰止嗽，为君药。桔梗味苦辛，善于宣肺化痰；白前味辛甘，长于降气化痰。两者协同，一宣一降，以复肺气之宣降，增强君药止咳化痰之力，共为臣药。荆芥祛风解表，使外邪从表而解，则肺气得宣，虽重不在解表，但解表又实不可缺；陈皮理气化痰，均为佐药。甘草缓急和中，调和诸药，合桔梗、荆芥又有利咽止咳之功，是为佐使之用。药虽七味，用量轻微，具备了温而不燥，润而不腻，散寒不助热，解表不伤正的特点。,本方为治疗表邪未尽，肺气失宣而致咳嗽的常用方。临床以咳嗽咽痒，微恶风发热，苔薄白为辨证要点。,风寒初起加荆芥、防风、苏叶、生姜以散邪；暑气伤肺，口渴烦心尿赤，加黄连、黄芩、花粉；湿气生痰，痰延稠粘者加半夏、茯苓、桑白皮、生姜、大枣；燥气伤肺，干咳无痰者加栝楼、贝母、知母、柏子仁。,本方药性温润，以温为主，故阴虚劳嗽或肺热咳嗽者，不宜使用。,本方常用于上呼吸道感染、支气管炎、百日咳等属表邪未尽，肺气失宣者。,医学心悟
桂枝汤,解肌发表，调和营卫。,外感风寒表虚证。恶风发热，汗出，头痛，鼻鸣干呕，苔白不渴，脉浮缓或浮弱者。,桂枝三两 (9g) 芍药三两 (9g) 炙甘草 二两 (6g) 生姜三两 (9g) 大枣十二枚 (3g),水煎，温服。啜热粥，温覆以助取汗，以微汗为度。,本方证为风邪稽留于肺，肺失宣畅所致。用治外感咳嗽，经服解表宣肺药后而咳仍不止者。风邪犯肺，或因解表不彻而风邪未尽，故咽痒咳嗽，因外邪已去十之八九，故微有恶风发热，舌苔薄白。治宜止咳化痰，疏表宣肺。方中紫菀、百部，均入肺经，其性温润，能润肺化痰止嗽，为君药。桔梗味苦辛，善于宣肺化痰；白前味辛甘，长于降气化痰。两者协同，一宣一降，以复肺气之宣降，增强君药止咳化痰之力，共为臣药。荆芥祛风解表，使外邪从表而解，则肺气得宣，虽重不在解表，但解表又实不可缺；陈皮理气化痰，均为佐药。甘草缓急和中，调和诸药，合桔梗、荆芥又有利咽止咳之功，是为佐使之用。药虽七味，用量轻微，具备了温而不燥，润而不腻，散寒不助热，解表不伤正的特点。,"本方为治疗外感风寒表虚证的基础方，又是调和营卫、调和阴阳治法的代表方。临床应用以恶风，发热,汗出，脉浮缓为辨证要点。",恶风寒较甚者，宜加防风、荆芥、淡豆豉疏散风寒；体质素虚者，可加黄芪益气，以扶正祛邪；兼见咳喘者，宜加杏仁、苏子、桔梗宣肺止咳平喘。,感热病，阴虚火旺，血热妄行者，均当忌服，孕妇及月经过多者慎用。服药期间禁食生冷、粘腻、酒肉、臭恶等物。,普通感冒、流行性感冒、上呼吸道感染属于外感风寒表虚证者；以及风湿性关节炎、多形红斑、荨麻疹、皮肤瘙痒症、过敏性鼻炎、妊娠呕吐等辨证属营卫不和者。,桂枝汤治太阳风，芍药甘草姜枣同，解肌发表调营卫，表虚有汗此为功。
香苏散,疏散风寒，理气和中,外感风寒，气郁不舒证。恶寒身热，头痛无汗，胸脘痞闷，不思饮食，舌苔薄白，脉浮,香附子(炒香，去毛) 紫苏叶各120克 甘草(炙)30克 陈皮60克(不去白),上为粗末。每服9克，用水150毫升，煎100毫升，去滓热服，不拘时候，日三服，若作细末，只服6克，入盐点服。,风寒之邪，四时皆有。本方是为外感风寒，受邪轻浅，内兼气滞证而设。恶寒发热，头痛无汗，舌苔薄白，脉浮，与一般表证无异；胸脘痞闷，不思饮食，则为气郁不舒之征象。治宜解表理气。因感邪较轻，当 “以轻松流利为佳，不必动辄峻剂也”《医方论》卷1。,本方为治疗外感风寒而兼气滞的常用方。临床应用以恶寒发热，头痛无汗，胸脘痞闷，苔薄白，脉浮为辨证要点。,,,本方多用于胃肠型感冒属感受风寒兼气机郁滞者。,香苏散
正柴胡饮,解表散寒,外感风寒轻证。微恶风寒，发热，无汗，头痛，身痛，舌苔薄白，脉浮。,柴胡一至三钱 (9g) 防风一钱 (3g) 陈皮一钱半 (4.5g) 芍药二钱 (6g) 甘草一钱 (3g) 生姜三至五片,水煎，温服。,恶寒，发热，无汗，头身痛，苔薄，脉浮，为风寒束表之征象，因感邪较轻，故其症以微恶风寒，发热为特点。治当解表散寒。,本方为张介宾所创制的平散风寒之代表方。临床应用以发热恶寒，头痛身痛，苔白，脉浮为辨证要点。,若寒盛而邪不易解者，加麻黄或苏叶以发散风寒；头痛甚者，加川芎以祛风止痛；热而烦渴者，加葛根以透热生津；呕恶者，加半夏以和胃降逆；湿盛者，加苍术以化湿运脾。,气血虚者慎用。,本方常用感冒、流行性感冒、疟疾初起以及妇女经期、妊娠、产后感冒等属外感风寒而气血不虚者。,正柴胡饮
加减葳蕤汤,滋阴解表,阴虚外感风热证。头痛身热，微恶风寒，无汗或有汗不多，咳嗽，心烦，口渴，咽干，舌红，脉数。,生葳蕤、淡豆豉各9g，红枣二枚，生葱白6g，炙甘草1.5g，桔梗、苏薄荷各5g，东白薇3g。,水煎，分温再服。,本方主治阴虚之体外感风热者。外感风热，故见头痛身热、微恶风寒、无汗或有汗不畅、咳嗽、口渴等症；阴虚之体，感受外邪，易于化热，且阴虚者亦多生内热，故除上述邪袭肺卫的见症外，尚有咽干、心烦、舌赤、脉数之症。治当辛凉解表，滋阴清热。方中葳蕤（即玉竹）味甘性寒，人肺胃经，为滋阴润燥主药，用以润肺养胃、清热生津，因其滋而不腻，对阴虚而有表热证者颇宜；薄荷辛凉，归肝、肺经，“为温病宜汗解者之要药”（《医学衷中参西录》上册），用以疏散风热、清利咽喉，共为君药。葱白、淡豆豉解表散邪，助薄荷以逐表邪，为臣药。白薇味苦性寒，善于清热而不伤阴，于阴虚有热者甚宜；桔梗宣肺止咳；大枣甘润养血，均为佐药。使以甘草调和药性。诸药配伍，汗不伤阴，滋不碍邪，为滋阴解表之良剂。,本方专为素体阴虚，感受风热之证而设。临床应用以身热微寒，咽干口燥，舌红，苔薄白，脉数为辨证要点。,若表证较重者，酌加防风、葛根以祛风解表；若心烦口渴甚，加竹叶、天花粉以清热生津除烦；若咳嗽咽干，咳痰不爽，加牛蒡子、瓜萎皮以利咽化痰。,本方是滋阴解表之剂，若无阴虚证候则不宜使用，否则表邪留连难去。,本方常用于治疗老年人及产后感冒、急性扁桃体炎、咽炎等属阴虚外感者。《重订通俗伤寒论》：“阴虚之体，感冒风温，及冬温咳嗽，咽干痰结者。,方歌：加减葳蕤用白薇，豆豉生姜桔梗随，草枣薄荷共八味，滋阴发汗功可慰。
参苏饮,益气解表，理气化痰。,气虚外感风寒，内有痰湿证。恶寒发热，无汗，头痛，鼻塞，咳嗽痰白，胸脘满闷，倦怠无力，气短懒言，舌苔白，脉弱。,人参紫苏叶 干葛 半夏 前胡 茯苓 各三分 (6g) 枳壳 桔梗 木香 陈皮 炙甘草 各半两 (4g),加生姜七片，大枣一个，水煎，温服，不拘时候。,本证是由素体脾肺气虚，内有痰湿，复感风寒所致。治疗方法以益气解表，理气化痰为主。风寒束表，肺气闭郁，故见恶寒发热、无汗头痛、鼻塞；痰湿壅肺，阻滞气机，故咳嗽痰白、胸脘满闷；表证应当脉浮，今脉反弱，且见倦怠无力、气短懒言，是气虚之征。方中苏叶辛温，归肺脾经，功擅发散表邪，又能宣肺止咳，行气宽中，故用为君药。臣以葛根解肌发汗，人参益气健脾，苏叶、葛根得人参相助，发散而不伤正。半夏、前胡、桔梗止咳化痰，宣降肺气；木香、枳壳、陈皮理气宽胸，醒脾畅中；茯苓健脾渗湿以助消痰。如此化痰与理气兼顾，既寓“治痰先治气”之意，又使升降复常，有助于表邪之宣散、肺气之开合，七药俱为佐药。甘草补气安中，兼和诸药，为佐使。诸药配伍，共成益气解表、理气化痰之功。,为治气虚外感风寒，内有痰湿证的常用方。临床应用以恶寒发热，无汗头痛，咳痰色白，胸脘满闷，倦怠乏力，苔白，脉弱为辨证要点。,若恶寒发热、无汗等表寒证重者，宜将荆芥、防风、葛根；头痛甚者，可加川芎、白芷、藳本以增强解表止痛作用；气滞较轻者，可去木香以减其行气之力。,,常用来治疗感冒、上呼吸道感染等属气虚外感风寒兼有痰湿者。,参苏饮
败毒散,散寒祛湿，益气解表。,气虚外感风寒湿表证。憎寒壮热，头项强痛，肢体痛，无汗，鼻塞声重，咳嗽有痰，胸膈痞满，舌淡苔白，脉浮而按之无力。,柴胡 前胡 川芎 枳壳 羌活 独活 茯苓 桔梗 人参 甘草 各三十两 (900g),煮散剂，每服6g，加生姜、薄荷各1g同煎，不拘时服，寒多则热服，热多则温服；亦作汤剂煎服，用量按原方比例酌减。,本方所治证候系正气素虚，又感风寒湿邪。憎寒壮热，头项强痛，肢体酸痛，无汗，是风寒湿邪，袭于肌表，客于经络之征。鼻塞声重，咳嗽有痰，胸膈痞闷，为风寒犯肺，肺系不利，肺气不宣，津聚为痰，痰阻气滞之候。舌苔白腻，脉浮按之无力，正是虚人外感风寒兼湿之佐证。治当散寒祛湿，益气解表。,"1. 本方是一首益气解表的常用方。临床应用以憎寒壮热，肢体酸痛，无汗，脉浮按之无力为辨证要点。
2. 常用于感冒、流行性感冒、支气管炎、风湿性关节炎、痢疾、过敏性皮炎、湿疹等属外感风寒湿邪兼气虚者。",,本方多辛温香燥之品，若是暑温、湿热蒸迫肠中而成痢疾者，切不可误用。若非外感风寒湿邪，寒热无汗者，亦不宜服。（方中药物多为辛温香燥之品，外感风热及阴虚外感者，均忌用。若时疫、湿温、湿热蕴结肠中而成之痢疾，切不可用。）,常用于感冒、流行性感冒、支气管炎、风湿性关节炎、痢疾、过敏性皮炎、湿疹等属外感风寒湿邪兼气虚者。,"1. 关于人参的配伍：素体气虚而外感，若只祛邪而不扶正，不仅无力鼓邪外出，即使表邪暂解，亦恐正气不足而邪气复入；另外，正气虚弱之人感受外邪，若单纯以解表药汗之，药虽外行，而中气不足，轻则汗半出不出，外邪仍不能解；重则外邪反乘元气之虚而入里，以致发热无休，病情缠绵难愈。故于祛风散寒药中佐少量的人参益气以扶其正，一则扶助正气以驱邪外出，并寓防邪入里之义，二则散中有补，不致耗伤真元。
2. 关于 “逆流挽舟”：喻嘉言常用本方治外邪陷里而成痢疾者，后人称之为 “逆流挽舟” 法。痢疾之成，多因湿热疫毒，壅滞肠道，其病势向内向下，治宜因势利导，当清热化湿解毒，兼以调气和血导滞，此乃治痢之常法，而 “逆流挽舟” 法是治痢的变法。本法所治痢疾，由表邪内陷于里，肠道壅滞，气血失调而成。此时病势虽向内向下，但导致肠道壅滞的根本原因是表邪内陷，不宜顺其病势而用常法，只宜采取逆其病势的解表法治之。故 “逆” 者，逆其病势、逆其常法也。应用解表药物，使内陷之外邪从表而解，宛如逆流之中挽舟上行，故称 “逆流挽舟” 法。从病势来看，实属 “逆挽”，但从病因、病机分析，则属 “顺推”，二者反映了本质与现象的关系。"
柴葛解肌汤（又名“干葛解肌汤”“葛根解肌汤”“柴胡解肌汤”）,解肌清热。,外感风寒，郁而化热证。恶寒渐轻，身热增盛，无汗头痛，目疼鼻干，心烦不眠，咽干耳聋，眼眶痛，舌苔薄黄，脉浮微洪。,柴胡 (6g) 干葛 (9g) 甘草 (3g) 黄芩 (6g) 羌活 (3g) 白芷 (3g) 芍药 (6g) 桔梗 (3g) 石膏 (3g),水煎，生姜三片，大枣二枚同煎，温服。,本方所治证候乃太阳风寒未解，郁而化热，渐次传入阳明，波及少阳之三阳合病。太阳风寒未解，故恶寒，无汗头痛。阳明经脉起于鼻两侧，上行至鼻根部，经眼眶下行；少阳经脉行于耳后，进入耳中，出于耳前，并行至面颊部，到达眶下部。入里之热初犯阳明、少阳，故目疼鼻干，眼眶痛，咽干耳聋。脉浮而微洪是外有表邪，里有热邪之佐证。治宜辛凉解肌，兼清里热。,本方是治疗太阳风寒未解，入里化热，初犯阳明或三阳合病的常用方。临床应用以发热重，恶寒轻，头痛，眼眶痛，鼻干，脉浮微洪为辨证要点。,若无汗而恶寒甚者，可去黄芩，加麻黄增强发散表寒之力，值夏秋可以苏叶代之；热邪伤津而见口渴者，宜加天花粉、知母以清热生津；恶寒不明显而里热较甚，见发热重、烦躁、舌质偏红者，宜加银花、连翘，并重用石膏以加强清热之功。,若太阳表邪未入里者，不宜用本方，恐其引邪入里；若里热而见阳明腑实证 (大便秘结不通) 者，亦不宜用。,"1. 流行性感冒：以本方合麻杏石甘汤治疗102例，若发烧38.5℃以上者，可肌内注射安痛定；若体虚者，可静脉滴注葡萄糖、维生素C，能量合剂等支持治疗，若白细胞12×10^9/L以上者可给予抗生素。疗效评定以感冒症状全部消失为痊愈。结果：痊愈92例，有效9例，无效1例，总有效率99%。(《陕西中医》2003年第3期)
2. 头痛：以本方加减治疗颈源性头痛100例，体征为枕外隆凸到乳突连线间有压痛或痛性结节，枢椎棘突旁有压痛。1个疗程为2周。中药煎煮两次后，将药渣用布包热敷颈枕部。全部病例治疗1～2个疗程，半年～1年后随访，观察疗效。疗效评定以头痛消失，伴随症状和体征消失或基本消失为痊愈。结果：痊愈68例，好转29例，无效3例。(《光明中医》2007年第6期)
3. 病毒性角膜炎：以本方加减治疗单纯疱疹性病毒性角膜炎40例(46只眼)，与鱼腥草眼药水、阿昔洛韦、聚肌胞注射液治疗33例(44只眼)对照。1个疗程为15日，共治疗2个疗程。疗效评定以自觉症状消失，角膜溃疡愈合，荧光素染色阴性，视力恢复正常为治愈。结果：总有效率93.47%。(《中国社区医师》2010年第14期)",陶氏柴葛解肌汤，邪在三阳热势张，芩芍桔甘羌活芷，石膏大枣与生姜。
桑菊飲,疏风清热，宣肺止咳。,风温初起，表热轻证。但咳，身热不甚，口微渴，脉浮数。,桑叶二钱五分（7.5g），菊花一钱（3g），杏仁二钱（6g），连翘一钱五分（5g），薄荷八分（2.5g），苦桔梗二钱（6g），甘草八分（2.5g），苇根二钱（6g）。,水煎，温服。方中药物均系轻清之品，故不宜久煎。,风温袭肺，肺气失宣，故见咳嗽；因受邪轻浅，津伤亦轻，所以身不甚热，口渴亦微。本方证属温病初起，肺失宣肃的表热轻证，故立疏风清热，宣肺止咳为法。,本方是主治风热犯肺之咳嗽证的常用方剂。临床应用以咳嗽，发热不甚，微渴，脉浮数为辨证要点。因其为 “辛凉轻剂”，故肺热甚者，当予加味后运用，否则病重药轻，药不胜病；若系风寒咳嗽，不宜使用。,若无汗而恶寒甚者，可去黄芩，加麻黄增强发散表寒之力，值夏秋可以苏叶代之；热邪伤津而见口渴者，宜加天花粉、知母以清热生津；恶寒不明显而里热较甚，见发热重、烦躁、舌质偏红者，宜加银花、连翘，并重用石膏以加强清热之功。,若太阳表邪未入里者，不宜使用本方，恐其引邪入里；若里热而见阳明腑实（大便秘结不通）者，亦不宜使用。,本方常用于感冒、急性支气管炎、上呼吸道感染、肺炎、急性结膜炎、角膜炎等属风热犯肺或肝经风热者。,方歌: 桑菊饮中桔杏翘，芦根甘草薄荷饶，清疏肺卫轻宣剂，风温咳嗽服之消。
